user_id,GB_12,loan_amount,PP_Average_Current_DBT,PP_Avg_Curr_Cmpny_DBT_Ind_DBT,PP_Worst_Comp_DBT_Ind_DBT_In_Lst_12M,Avg_No_Of_DBT_0_1000,DBT_most_recent_month,Num_unpaid_accts_in_past_year,Num_Of_Prev_Searches_last_3M,Num_Of_Prev_Searches_last_6M,Num_Of_Prev_Searches_last_12M,Num_Of_Meeting_Of_Creditors,Tot_Fixed_Assets_As_Pct_Of_Tot_Assets,Curr_Liab_As_Pct_Of_Tot_Assets,Capital_Employed_As_Pct_Of_Tot_Assets,Equity_Gearing,G3_Dir_Consent_FullCAIS_ConsCommDelphi_score,submit_profit_after_tax1,calc_profit_after_tax1,submit_profit_after_tax2,calc_profit_after_tax2,Score_1_SCORE,Num_of_active_SHARE_recs,Num_of_all_SHARE_accts,Num_of_active_SHARE_accts,Total_value_of_active_accts,payment_status_less_2_3M,payment_status_less_2_12M,payment_status_less_2_24M,payment_status_less_1_3M,payment_status_less_1_12M,payment_status_less_1_24M,payment_status_0_3M,payment_status_0_12M,payment_status_0_24M,Total_value_accts_in_sector2,Total_bals_active_accts,Total_limits_rev_acct_active,Mthly_rpymt_actv_fxd_term_accts,Value_actv_fxd_term_accts,Num_pymt_status_3plus_48_updates,curr_bal_to_Annual_Income,Curr_bal_rev_crd_to_curr_limits,bal_rev_crd_to_curr_limits_3M,bal_rev_crd_to_curr_limits_6M,Num_Rev_Acct_util_ge75,Unemployment_Among_25_39,Avg_num_of_Court_Judgments,Credit_Card_Repayment_Amt,Num_Cash_Advances_3M
124407,0,30000,0,-25,-24,0,0,0,7,10,16,0,9.9,99.7,0.3,0.3,83,69116,69116,30294,30294,629,7,12,7,100266,7,7,7,7,7,7,7,7,7,92570,100266,23400,722,92570,0,10,32,29,26,1,6.25782,0.23,152,0
124419,0,95000,20,-10,-3,13,20,0,4,6,17,0,3.5,94.5,5.5,5.5,70,186232.45,186232.45,499521,499521,689,10,13,10,252642,10,10,10,10,10,10,10,10,10,249837,252642,41250,3243,249837,0,2,6,2,1,0,0,0,16,1
124448,0,30000,9,-17,-17,9,9,0,1,5,14,0,11.9,62,38,35.6,81,-12587.28,-12587.28,43444,43444,639,8,20,8,133339,8,8,8,8,7,7,8,7,7,122399,133339,58450,555,122399,0,27,18,29,24,0,6.45161,0.09,4930,0
124449,0,NA,0,-26,14,NA,0,0,7,13,19,0,0.4,86.3,13.7,13.7,84,20540,20540,45948,45948,573,9,12,9,158369,9,9,9,9,8,7,9,8,7,138588,158369,10700,1614,147714,0,49,93,94,80,3,11.62791,0.47,391,0
124494,0,NA,0,-30,-29,0,0,0,1,1,2,0,80.2,22.3,77.7,77.6,78,113853.32,113853.32,1764,1764,662,5,8,5,49903,5,5,5,5,5,5,5,5,5,37228,49903,30000,1672,37228,0,16,42,32,20,0,0,0.08,2685,1
124585,0,83000,2,-24,-5,0,2,0,3,3,17,0,20.3,79.1,20.9,13,75,322792.23,322792.23,69077,69077,584,10,15,10,482236,10,10,10,10,9,9,10,7,7,431262,482236,29200,2371,456271,0,67,88,85,75,2,12.30517,0.06,1459,0
124687,0,15000,NA,NA,NA,NA,NA,NA,0,0,0,0,40.4,41.4,58.6,58.7,59,43271.21,43271.21,74082,74082,488,11,16,11,33558,11,11,11,9,8,8,8,7,7,NA,33558,3750,812,29955,0,67,94,86,79,2,6.93481,0.04,122,4
124725,0,NA,0,-26,-24,0,0,0,0,0,5,0,21.8,99.5,0.5,0.5,15,38,38,19714,19714,671,7,9,7,61560,7,7,7,7,7,7,7,6,5,60056,61560,9000,1063,60144,0,2,15,19,22,0,0,0,100,0
124855,0,60000,0,-26,-24,0,0,0,1,3,4,0,24,76,24,24,88,27170.15,27170.15,170530.39,170530.39,613,3,7,3,105904,3,3,3,3,3,3,3,2,2,80161,105904,0,794,105904,0,85,NA,NA,NA,0,36.17945,0.37,0,0
124899,0,NA,47,27,29,0,47,0,7,7,16,0,43.2,98.3,1.7,1,37,3523.32,3523.32,6740,6740,483,7,9,7,20056,6,6,6,3,3,3,2,2,2,NA,20056,13250,266,6025,0,66,104,96,93,3,6.5703,0.35,0,5
125085,0,70000,2,-24,-20,NA,2,0,4,7,18,0,35.5,79.9,20.1,9.6,86,2597.17,2597.17,74819,74819,600,8,21,8,114480,8,8,7,8,7,6,7,6,5,86355,114480,33000,1082,88108,0,37,74,69,80,2,0,0.6,670,0
